algo,n,time_s,throughput,ipc,llc_miss_pct,instructions,cycles,LLC_loads,LLC_misses
bubble,0,1.201151,0.00,1.101,62.037,3817802,3469152,8532,5293
bubble,1000,0.011584,86327.49,0.980,11.630,8757616,8934673,6956,809
bubble,2000,0.024281,82367.39,0.903,12.524,23921250,26493014,7202,902
bubble,3000,0.032978,90970.59,0.857,10.701,49035388,57201274,7074,757
bubble,4000,0.048210,82970.73,0.818,12.068,84267246,103019637,7358,888
bubble,5000,0.066373,75331.74,0.787,9.963,129487602,164510943,7217,719
bubble,6000,0.093059,64475.06,0.766,8.695,184709775,241276879,7326,637
bubble,7000,0.122217,57275.36,0.744,8.174,250049440,336142913,7475,611
bubble,8000,0.163142,49037.09,0.726,11.547,325287288,448120015,7621,880
bubble,9000,0.204656,43976.27,0.715,15.460,410416094,574360184,7833,1211
bubble,10000,0.252730,39567.95,0.704,14.916,505819075,718463197,7871,1174
bubble,11000,0.309624,35526.93,0.695,18.871,611085874,879004993,8039,1517
bubble,12000,0.373445,32133.21,0.687,13.919,726658375,1058161288,8032,1118
bubble,13000,0.442465,29380.83,0.679,20.667,852100097,1254145851,8332,1722
bubble,14000,0.505321,27705.14,0.674,19.729,987333500,1464446004,8495,1676
bubble,15000,0.585226,25631.12,0.668,12.958,1132742667,1695018574,8489,1100
bubble,16000,0.665065,24057.81,0.664,21.504,1288257022,1940372464,9045,1945
bubble,17000,0.752711,22585.02,0.660,15.725,1453655498,2202814823,9259,1456
bubble,18000,0.851431,21140.88,0.656,24.420,1629215583,2483638422,9390,2293
bubble,19000,0.946342,20077.31,0.653,22.993,1815108811,2779322825,9616,2211
bubble,20000,1.056141,18936.86,0.649,20.745,2011428844,3097477273,9342,1938
bubble,21000,1.164295,18036.67,0.646,20.644,2217178401,3430252024,9727,2008
bubble,22000,1.291560,17033.66,0.642,27.769,2433410080,3787711662,10580,2938
bubble,23000,1.412942,16278.09,0.640,29.982,2659134172,4154770284,10613,3182
bubble,24000,1.540243,15581.95,0.638,27.884,2894495486,4534972998,10827,3019
bubble,25000,1.677020,14907.39,0.635,29.503,3140879721,4944207512,10975,3238
bubble,26000,1.816472,14313.46,0.634,29.619,3396470460,5357800662,11550,3421
bubble,27000,1.964237,13745.80,0.632,33.057,3662298839,5791179834,11816,3906
bubble,28000,2.113403,13248.77,0.631,30.190,3938196354,6241728632,12110,3656
bubble,29000,2.283120,12701.92,0.628,33.422,4223115063,6724660983,12743,4259
bubble,30000,2.433444,12328.21,0.627,30.937,4519814271,7206914377,12519,3873
